name,slug,category,brand,price,original_price,stock_quantity,description,main_image,images,features,is_featured,product_url,specifications,manufacturer
MRI System Pro 297,mri-system-pro-297,Medical Equipment,Clinica,6061.72,7111.05,3,High-quality MRI System Pro 297 meeting industry standards for medical equipment operations.,https://images.pexels.com/photos/8413091/pexels-photo-8413091.jpeg,"https://images.pexels.com/photos/8413091/pexels-photo-8413091.jpeg,https://images.pexels.com/photos/6627671/pexels-photo-6627671.jpeg,https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg,https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg","Technical Support, Hygienic Design, 1 Year Warranty, Heavy Duty Construction",0,,Clinica | Industrial Grade | Performance Certified,MediPro
Wellhead System Max 481,wellhead-system-max-481,Oil And Gas Exploration Equipment,DrillMaster,468033.13,517377.66,1,Professional-grade Wellhead System Max 481 designed for demanding oil and gas exploration equipment applications.,https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,"https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg,https://images.pexels.com/photos/29470002/pexels-photo-29470002.jpeg","1 Year Warranty, High Pressure Rated, Corrosion Resistant, ATEX Certified",0,,FuelTech | Industrial Grade | Performance Certified,OilMax
Crane Lift Pro Industrial 787,crane-lift-pro-industrial-787,Construction Equipment,TerraMaster,64061.0,79521.28,6,Crane Lift Pro Industrial 787 - A trusted solution for construction equipment tasks with reliable performance.,https://images.pexels.com/photos/16567022/pexels-photo-16567022.jpeg,"https://images.pexels.com/photos/16567022/pexels-photo-16567022.jpeg,https://images.pexels.com/photos/33122153/pexels-photo-33122153.jpeg,https://images.pexels.com/photos/21033111/pexels-photo-21033111.jpeg,https://images.pexels.com/photos/30354001/pexels-photo-30354001.jpeg","Technical Support, 1 Year Warranty, ROPS/FOPS Available, Heavy Duty Construction",0,,DigiBuild | Industrial Grade | Performance Certified,BuildForce
Drilling Rig Max 712,drilling-rig-max-712,Mining and Quarry Equipment,RockBreaker,89327.23,111855.55,5,This Drilling Rig Max 712 delivers exceptional performance in mining and quarry equipment environments.,https://images.pexels.com/photos/15071423/pexels-photo-15071423.jpeg,"https://images.pexels.com/photos/15071423/pexels-photo-15071423.jpeg,https://images.pexels.com/photos/13181434/pexels-photo-13181434.jpeg,https://images.pexels.com/photos/33192/paddle-wheel-bucket-wheel-excavators-brown-coal-open-pit-mining.jpg,https://images.pexels.com/photos/6364578/pexels-photo-6364578.jpeg","Industry Certified, Heavy Duty Construction, 1 Year Warranty, Mining Certified",0,,MineTech | Industrial Grade | Performance Certified,DeepDigger
Defibrillator Industrial 953,defibrillator-industrial-953,Medical Equipment,MediCore,42364.73,53177.91,20,High-quality Defibrillator Industrial 953 meeting industry standards for medical equipment operations.,https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg,"https://images.pexels.com/photos/6809646/pexels-photo-6809646.jpeg,https://images.pexels.com/photos/4586856/pexels-photo-4586856.jpeg,https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg,https://images.pexels.com/photos/8413159/pexels-photo-8413159.jpeg","Sterilization Ready, Hygienic Design, Clinical Grade, 1 Year Warranty",1,,ProHealth | Industrial Grade | Performance Certified,ProHealth
Casing Hanger Elite 647,casing-hanger-elite-647,Oil And Gas Exploration Equipment,OilMax,277608.81,329598.91,10,This Casing Hanger Elite 647 delivers exceptional performance in oil and gas exploration equipment environments.,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg,"https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg,https://images.pexels.com/photos/29470000/pexels-photo-29470000.jpeg,https://images.pexels.com/photos/13129752/pexels-photo-13129752.jpeg,https://images.pexels.com/photos/29470001/pexels-photo-29470001.jpeg","Heavy Duty Construction, 1 Year Warranty, Technical Support, Industry Certified",0,,PetroPower | Industrial Grade | Performance Certified,PetroPower
Forklift Pro Max 993,forklift-pro-max-993,Construction Equipment,BuildForce,69569.56,82893.48,3,This Forklift Pro Max 993 delivers exceptional performance in construction equipment environments.,https://images.pexels.com/photos/5125782/pexels-photo-5125782.jpeg,"https://images.pexels.com/photos/5125782/pexels-photo-5125782.jpeg,https://images.pexels.com/photos/5125783/pexels-photo-5125783.jpeg,https://images.pexels.com/photos/461789/pexels-photo-461789.jpeg,https://images.pexels.com/photos/10421754/pexels-photo-10421754.jpeg","Heavy Duty Construction, Fuel Efficient, Technical Support, ROPS/FOPS Available",0,,DigiBuild | Industrial Grade | Performance Certified,SteelWorks
Dozer Pro Elite 714,dozer-pro-elite-714,Mining and Quarry Equipment,RockBreaker,484994.5,547928.42,2,Professional-grade Dozer Pro Elite 714 designed for demanding mining and quarry equipment applications.,https://images.pexels.com/photos/18812420/pexels-photo-18812420.jpeg,"https://images.pexels.com/photos/18812420/pexels-photo-18812420.jpeg,https://images.pexels.com/photos/31096912/pexels-photo-31096912.jpeg,https://images.pexels.com/photos/28792584/pexels-photo-28792584.jpeg,https://images.pexels.com/photos/15071423/pexels-photo-15071423.jpeg","Heavy Duty Construction, Technical Support, Industry Certified, Dust Protected",1,,DeepDigger | Industrial Grade | Performance Certified,MineTech
Ultrasound Device Elite 402,ultrasound-device-elite-402,Medical Equipment,MediPro,8108.93,9549.63,11,Professional-grade Ultrasound Device Elite 402 designed for demanding medical equipment applications.,https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg,"https://images.pexels.com/photos/6502369/pexels-photo-6502369.jpeg,https://images.pexels.com/photos/7789678/pexels-photo-7789678.jpeg,https://images.pexels.com/photos/8352121/pexels-photo-8352121.jpeg,https://images.pexels.com/photos/6627665/pexels-photo-6627665.jpeg","Heavy Duty Construction, Hygienic Design, Sterilization Ready, Technical Support",1,,MediPro | Industrial Grade | Performance Certified,MediCore
Top Drive Max 272,top-drive-max-272,Oil And Gas Exploration Equipment,DrillMaster,202742.56,257942.83,10,Professional-grade Top Drive Max 272 designed for demanding oil and gas exploration equipment applications.,https://images.pexels.com/photos/29470001/pexels-photo-29470001.jpeg,"https://images.pexels.com/photos/29470001/pexels-photo-29470001.jpeg,https://images.pexels.com/photos/15391048/pexels-photo-15391048.jpeg,https://images.pexels.com/photos/21047659/pexels-photo-21047659.jpeg,https://images.pexels.com/photos/7910062/pexels-photo-7910062.jpeg","Technical Support, Heavy Duty Construction, Industry Certified, ATEX Certified",0,,FuelTech | Industrial Grade | Performance Certified,FuelTech
